연번,미디어타입,제목,장소명,장소타입,장소설명,영업시간,브레이크타임,휴무일,주소,위도,경도,전화번호,최종작성일
1,movie,1987:When the Day Comes,연세대학교 신촌캠퍼스,playground,영화 1987에서 김태리가 다닌 대학교,매일 00시 - 24시,정보없음,연중무휴,서울특별시 서대문구 연세로 50,37.5637563,126.937546,02-2123-2114,
2,movie,1987:When the Day Comes,민주인권기념관,playground,1987 촬영지이자 박종철이 고문으로 사망한 곳,임시휴업,정보없음,임시휴업(~ 2023년 6월),서울특별시 용산구 한강대로71길 37,37.541025,126.971672,031-361-9500,
3,movie,1987:When the Day Comes,천주교 서울대교구 주교좌명동대성당,playground,1987에서 김승훈 신부가 성명서를 발표한 곳,"화-토 11시 - 20시, 일 10시 - 20시, 월 성직자,수도자만",정보없음,연중무휴,서울특별시 중구 명동길 74,37.5632772,126.986827,02-774-1784,
4,movie,1987:When the Day Comes,서울특별시청,playground,영화 1987 마지막 장면의 배경이 된 장소,평일 09시 - 18시,12시 - 13시,주말,서울특별시 중구 세종대로 110 ,37.566291,126.977931,02-120,
5,artist,2AM,서울특별시 학생체육관,playground,레인보우 스타즈' 진운이 경기한 체육관,매일 00시 - 24시,정보없음,연중무휴,서울특별시 송파구 잠실동 10-3,37.512199,127.07525,02-422-2285,
6,artist,2AM,그랜드하얏트서울 아이스링크,playground,"우리 결혼했어요 조권, 가인의 데이트 장소",12월-2월 매일 12시 - 21시,정보없음,3월-11월,서울특별시 용산구 소월로 322,37.539349,126.99715,02-799-8113,
7,artist,2PM,아실라,restaurant,닉쿤이 방문한 프라이빗 와인바,"평일 18시 - 24시, 주말 12시 - 24시",정보없음,연중무휴,서울특별시 강남구 강남대로98길 16,37.500688,127.028069,02-508-4665,
8,artist,2PM,마치래빗 샐러드 신사동가로수길본점,restaurant,준케이의 싸인 플레이트가 있는 샐러드샵,월-토 11시 - 21시,15시 30분 - 17시 30분,"일요일, 1월1일, 명절(당일)",서울특별시 강남구 논현로153길 45,37.520293,127.024517,070-4531-4514,
9,artist,2PM,도쿄등심 압구정점,restaurant,멤버들이 함께 방문한 소고기 전문점,매일 11시 30분 - 22시,15시 - 17시,연중무휴,서울특별시 강남구 도산대로49길 9 스타크빌딩 3층 ,37.523312,127.037113,02-547-2260,
10,artist,2PM,팔당닭발,restaurant,택연이 인간의 조건에서 방문한 닭발집,매일 12시 - (익일) 06시,정보없음,연중무휴,서울특별시 강남구 학동로45길 7,37.51672,127.0378039,02-546-4686,
